cohort,sigma,auc_mean,dice_mean,coverage_mean,n_eval
UCSF-POSTOP,1.0,0.874236277842007,0.18103870714978443,0.1308986332990767,297
UCSF-POSTOP,2.0,0.8713477100672726,0.2651746019185597,0.2551208025712726,297
UCSF-POSTOP,3.0,0.8594615766201693,0.27941829040967825,0.32111423187109633,297
UCSF-POSTOP,4.0,0.8464650677891427,0.280208121743647,0.3678899194939789,297
UCSF-POSTOP,5.0,0.8335217403864361,0.28004321797212417,0.414062176659375,297
UCSF-POSTOP,7.0,0.8101508221010879,0.2832085213236259,0.5332453365237186,297
UCSF-POSTOP,10.0,0.7796315451588142,0.25589352882853394,0.7410686897571624,297
UCSF-POSTOP,12.0,0.7615298679592213,0.2274943097907886,0.8329066317495306,297
UCSF-POSTOP,15.0,0.7326229445814655,0.20503715203392203,0.8945085661956743,297
UCSF-POSTOP,20.0,0.6789813501286691,0.19661274456524439,0.9539449270435276,297
UCSF-POSTOP,25.0,0.643400066430154,0.19122888725419085,0.9869751754794764,297
UCSF-POSTOP,30.0,0.6354214490077779,0.19053027947970896,0.9992056717408829,297
MU-Glioma-Post,1.0,0.6997186604236791,0.08146079898837133,0.05986857207843036,149
MU-Glioma-Post,2.0,0.7176671939027073,0.16755150256302512,0.15843804591449123,149
MU-Glioma-Post,3.0,0.7248955480140798,0.21296713834325084,0.22548369180946418,149
MU-Glioma-Post,4.0,0.7276074545312102,0.24136990577080422,0.280939512360721,149
MU-Glioma-Post,5.0,0.7278686919653913,0.265729291029928,0.3322379396999174,149
MU-Glioma-Post,7.0,0.7248710813389545,0.31511909333483357,0.4455955558818172,149
MU-Glioma-Post,10.0,0.7151740889422791,0.3794066645526028,0.6112053359863036,149
MU-Glioma-Post,12.0,0.7046623906159598,0.40306945082669293,0.7118721758055037,149
MU-Glioma-Post,15.0,0.6905218410915249,0.4185132116835561,0.8019633331892314,149
MU-Glioma-Post,20.0,0.6746570286594918,0.4398841356292737,0.896269516870256,149
MU-Glioma-Post,25.0,0.6712299951441639,0.4586603189858989,0.9604484001575445,149
MU-Glioma-Post,30.0,0.6713536831845146,0.4710168991656487,0.9982065957591089,149
RHUH-GBM,1.0,0.6521109010851253,0.05505341050273205,0.07353399451946281,34
RHUH-GBM,2.0,0.6660506360606155,0.11959848803073815,0.1617273671984355,34
RHUH-GBM,3.0,0.679398300954868,0.15325826960467814,0.21395573475970547,34
